2025-02-01 14:55:56,945 - INFO - Pod: workload-1738421756, Node: normal-control-plane, Intensity: 278.54, Region: DE, Type: Actual
2025-02-01 14:56:06,999 - INFO - Pod: workload-1738421766, Node: normal-control-plane, Intensity: 260.75, Region: DE, Type: Planned
2025-02-01 14:56:07,575 - INFO - Pod: workload-1738421766, Node: normal-control-plane, Intensity: 260.75, Region: DE, Type: Actual
2025-02-01 14:56:17,435 - INFO - Pod: workload-1738421777, Node: normal-worker, Intensity: 329.83, Region: ERCOT, Type: Planned
2025-02-01 14:56:18,006 - INFO - Pod: workload-1738421777, Node: normal-worker, Intensity: 329.83, Region: ERCOT, Type: Actual
2025-02-01 14:56:27,639 - INFO - Pod: workload-1738421787, Node: normal-control-plane, Intensity: 260.75, Region: DE, Type: Planned
2025-02-01 14:56:28,183 - INFO - Pod: workload-1738421787, Node: normal-control-plane, Intensity: 260.75, Region: DE, Type: Actual
2025-02-01 14:56:38,135 - INFO - Pod: workload-1738421798, Node: normal-worker, Intensity: 329.83, Region: ERCOT, Type: Planned
2025-02-01 14:56:38,675 - INFO - Pod: workload-1738421798, Node: normal-worker, Intensity: 329.83, Region: ERCOT, Type: Actual
2025-02-01 14:56:48,526 - INFO - Pod: workload-1738421808, Node: normal-worker2, Intensity: 158.79, Region: NL, Type: Planned
2025-02-01 14:56:48,859 - INFO - Pod: workload-1738421808, Node: normal-worker2, Intensity: 158.79, Region: NL, Type: Actual
2025-02-01 14:56:58,996 - INFO - Pod: workload-1738421818, Node: normal-control-plane, Intensity: 260.75, Region: DE, Type: Planned
2025-02-01 14:56:59,356 - INFO - Pod: workload-1738421818, Node: normal-control-plane, Intensity: 260.75, Region: DE, Type: Actual
2025-02-01 14:57:09,484 - INFO - Pod: workload-1738421829, Node: normal-control-plane, Intensity: 257.0, Region: DE, Type: Planned
2025-02-01 14:57:09,985 - INFO - Pod: workload-1738421829, Node: normal-control-plane, Intensity: 257.0, Region: DE, Type: Actual
2025-02-01 14:57:19,931 - INFO - Pod: workload-1738421839, Node: normal-worker, Intensity: 331.38, Region: ERCOT, Type: Planned
